country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rwanda,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,0.212,,,,0.137,,,,0.132,,,,,0.174,,,0.364,,0.516,,,,,0.532,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.426,,0.245,,,,,,,,,,,0.287,,,,,0.269,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,,,,,,0.307,,,0.384,,,,,0.406,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318,0.318,,0.208,,,,,,,,0.238,,,,,,,,,0.246,,
Senegal,,,,,,,,,,,,,,,,,,0.039,,,,,,,,0.113,,,,,,,0.074,,,,0.129,,0.105,,,,,,0.118,,,,,,0.131,,0.178,0.222,0.233,0.251,0.278,
Serbia,,,,,,,,,,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,0.412,,,,0.608,,,,0.584,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,0.043,,,,,0.053,,,0.082,,0.11,,,0.166,,,,0.225,
Singapore,,,,,,,,,,,,,0.601,,,,0.713,,,,,0.742,,,,,0.67,,,,,0.65,,,,,0.62,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,0.798,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,,,,,0.789,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.068,,,,,,0.346,,,,,,,,0.293,,,
